Node_ID,MAC_Address,Timestamp,RSSI,LQI,Diff_RSSI
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801721.3501637,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801721.4504304,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801721.5518942,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801721.6513214,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801721.7532952,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801721.8529348,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801721.9527519,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801722.0529947,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801722.2537541,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801722.3533669,-53,160,-1
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801722.453119,-53,160,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801722.5551698,-54,156,-1
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801722.6557555,-54,156,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801722.7568438,-54,156,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801722.85444,-53,160,1
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801722.9550843,-53,160,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801723.0570571,-53,160,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801723.156213,-53,160,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801723.2566013,-53,160,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801723.3560553,-53,160,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801723.4580002,-53,160,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801723.557637,-53,160,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801723.6573796,-53,160,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801723.7585895,-53,160,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801723.8592055,-53,160,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801723.959163,-52,164,1
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801724.059721,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801724.1586955,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801724.2600045,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801724.361804,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801724.4603033,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801724.5621035,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801724.6603713,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801724.7622316,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801724.862667,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801724.9632807,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801725.0637522,-51,168,1
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801725.162858,-52,164,-1
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801725.2624667,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801725.3635316,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801725.4634304,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801725.5633245,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801725.6656268,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801725.764386,-52,164,0
