Environment,Sender_Node,Sender_MAC,Receiver_Node,Receiver_MAC,Timestamp,RSSI,LQI,Diff_RSSI
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:49.398,-78,60,0
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:49.500,-79,56,-1
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:49.599,-79,56,0
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:49.701,-80,52,-1
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:49.801,-80,52,0
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:49.899,-79,56,1
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:50.000,-80,52,-1
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:50.102,-81,48,-1
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:50.200,-82,44,-1
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:50.300,-81,48,1
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:50.402,-83,40,-2
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:50.501,-82,44,1
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:50.603,-83,40,-1
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:50.703,-82,44,1
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:50.803,-84,36,-2
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:50.903,-83,40,1
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:51.004,-81,48,2
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:51.105,-82,44,-1
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:51.205,-82,44,0
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:51.304,-82,44,0
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:51.406,-81,48,1
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:51.504,-81,48,0
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:51.606,-80,52,1
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:51.707,-82,44,-2
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:51.806,-82,44,0
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:51.906,-81,48,1
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:52.007,-79,56,2
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:52.107,-83,40,-4
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:52.208,-80,52,3
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:52.307,-79,56,1
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:52.408,-80,52,-1
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:52.508,-80,52,0
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:52.608,-80,52,0
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:52.711,-80,52,0
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:52.810,-81,48,-1
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:52.909,-80,52,1
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:53.012,-81,48,-1
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:53.110,-81,48,0
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:53.211,-81,48,0
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:53.310,-81,48,0
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:53.412,-83,40,-2
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:53.511,-82,44,1
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:53.612,-81,48,1
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:53.712,-82,44,-1
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:53.811,-82,44,0
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:53.913,-81,48,1
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:54.014,-79,56,2
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:54.114,-80,52,-1
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:54.214,-80,52,0
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:54.315,-80,52,0
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:54.415,-79,56,1
